Individual	Max_phi	Closest_degree
Ox002088	0.241677	1st degree
Ox002104	0.241677	1st degree
Ox002097	0.238109	1st degree
Ox002116	0.235396	1st degree
Ox002105	0.233584	1st degree
Ox002113	0.233073	1st degree
Ox002106	0.23297	1st degree
Ox002114	0.232746	1st degree
Ox002093	0.232583	1st degree
Ox002103	0.232134	1st degree
Ox002107	0.231854	1st degree
Ox002096	0.231599	1st degree
Ox002092	0.231191	1st degree
Ox002117	0.230782	1st degree
Ox002108	0.230754	1st degree
Ox002098	0.23074	1st degree
Ox002091	0.230725	1st degree
Ox002090	0.230241	1st degree
Ox002086	0.229763	1st degree
Ox002109	0.229698	1st degree
Ox002094	0.229364	1st degree
Ox002084	0.229347	1st degree
Ox002101	0.22879	1st degree
Ox002081	0.228439	1st degree
Ox002099	0.228334	1st degree
Ox002083	0.228191	1st degree
Ox002089	0.228126	1st degree
Ox002100	0.227968	1st degree
Ox002082	0.227877	1st degree
Ox002111	0.227267	1st degree
Ox002110	0.22709	1st degree
Ox002095	0.226851	1st degree
Ox002118	0.226466	1st degree
Ox002119	0.224855	1st degree
Ox002102	0.224565	1st degree
Ox002115	0.224477	1st degree
Ox002085	0.224276	1st degree
