"Comparison","Estimate","Std.Error","t value","p value","Sig"
"Clay_Loam - Clay",0.4012,0.2088,1.922,"0.3533",""
"Loamy_Sand - Clay",0.8546,0.5177,1.651,"0.5282",""
"Sand - Clay",0.8768,0.518,1.692,"0.5001",""
"Sandy_Clay_Loam - Clay",-0.6424,0.2754,-2.333,"0.1577",""
"Sandy_Loam - Clay",0.6128,0.2343,2.615,"0.0797",""
"Loamy_Sand - Clay_Loam",0.4534,0.4923,0.921,"0.9317",""
"Sand - Clay_Loam",0.4756,0.5296,0.898,"0.9383",""
"Sandy_Clay_Loam - Clay_Loam",-1.0435,0.2459,-4.243,"<0.001","**"
"Sandy_Loam - Clay_Loam",0.2116,0.2049,1.033,"0.8928",""
"Sand - Loamy_Sand",0.0222,0.708,0.031,"1",""
"Sandy_Clay_Loam - Loamy_Sand",-1.4969,0.5161,-2.901,"0.0363","*"
"Sandy_Loam - Loamy_Sand",-0.2418,0.4953,-0.488,"0.9959",""
"Sandy_Clay_Loam - Sand",-1.5191,0.5698,-2.666,"0.0698",""
"Sandy_Loam - Sand",-0.264,0.5366,-0.492,"0.9958",""
"Sandy_Loam - Sandy_Clay_Loam",1.2551,0.263,4.773,"<0.001","**"
