"Response","Term","Df","Sum Sq","F value","Pr(>F)"
"Mean temperature","PRODUCER",2,1.101,1.328,"0.2664"
"Mean temperature","year",3,113.987,91.713,"<0.001"
"Mean temperature","season",2,3723.088,4493.342,"<0.001"
"Mean temperature","PRODUCER:year",6,0.158,0.064,"0.999"
"Mean temperature","PRODUCER:season",4,0.143,0.086,"0.9866"
"Maximum temperature","PRODUCER",2,1.921,2.321,"0.0998"
"Maximum temperature","year",3,114.054,91.858,"<0.001"
"Maximum temperature","season",2,3777.241,4563.26,"<0.001"
"Maximum temperature","PRODUCER:year",6,0.275,0.111,"0.9951"
"Maximum temperature","PRODUCER:season",4,0.242,0.146,"0.9646"
"Minimum temperature","PRODUCER",2,0.767,0.896,"0.4094"
"Minimum temperature","year",3,112.292,87.408,"<0.001"
"Minimum temperature","season",2,3691.288,4309.919,"<0.001"
"Minimum temperature","PRODUCER:year",6,0.112,0.044,"0.9997"
"Minimum temperature","PRODUCER:season",4,0.116,0.068,"0.9915"
