"Response","Predictor","VIF","Flag"
"VIZ_COUNT","CROWN_SPREAD",1.21,"OK"
"VIZ_COUNT","HEIGHT",1.26,"OK"
"VIZ_COUNT","SPRING_PHENO",1.256,"OK"
"VIZ_COUNT","PH",1.177,"OK"
"VIZ_COUNT","CANOPY_CLOSURE",1.081,"OK"
"MATURE_ACORNS","SPRING_PHENO",1.191,"OK"
"MATURE_ACORNS","HEIGHT",1.191,"OK"
"IMMAT_ACORNS","SPRING_PHENO",5.017,"moderate"
"IMMAT_ACORNS","K_MGL",1.241,"OK"
"IMMAT_ACORNS","MIDAPRIL_LAI",4.328,"OK"
"IMMAT_ACORNS","CROWN_SPREAD",1.281,"OK"
"IMMAT_ACORNS","P_MGL",1.434,"OK"
"IMMAT_ACORNS","HEIGHT",1.407,"OK"
"IMMAT_ACORNS","STALK_DENSITY",1.052,"OK"
"ABORTED_ACORNS","MIDNOV_LAI",7.297,"moderate"
"ABORTED_ACORNS","AUTUMN_PHENO",6.868,"moderate"
"ABORTED_ACORNS","PH",1.592,"OK"
"ABORTED_ACORNS","SOIL_CLASS",1.113,"OK"
"FLOWERS","AUTUMN_PHENO",7.542,"moderate"
"FLOWERS","MIDNOV_LAI",7.701,"moderate"
"FLOWERS","AUPPC",3.972,"OK"
"FLOWERS","STALK_DENSITY",1.236,"OK"
"FLOWERS","MIDAPRIL_LAI",2.08,"OK"
